config_id,R_C_over_R_A,coupling_C,C_offset,projection_mode,projection_description,sigma_AC,sigma_BC,C_cell_count,C_cell_width,resolved_case_count,resolution_valid,clock_error,clock_valid,closure_valid,decomposition_valid,AB_dominant_valid,pair_sign_crossing,max_c_bias_ratio_to_f_AB,max_c_asymmetry_ratio_to_f_AB,f_ABC_common_mode_ratio,fit_valid_native,fit_valid_pair_tau_ABC,fit_valid_c_bias,fit_valid_c_asymmetry,fit_valid_common_mode_direct_control,alpha_native_AB_tau_ABC,alpha_pair_tau_ABC,alpha_pair_tau_AB,alpha_pair_tau_AC,alpha_pair_tau_BC,alpha_c_bias_tau_ABC,alpha_c_asymmetry_tau_ABC,alpha_common_mode_direct_control_tau_ABC,alpha_class_native_AB_tau_ABC,alpha_class_pair_tau_ABC,alpha_class_pair_tau_AB,alpha_class_pair_tau_AC,alpha_class_pair_tau_BC,alpha_class_c_bias_tau_ABC,alpha_class_c_asymmetry_tau_ABC,alpha_class_common_mode_direct_control_tau_ABC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,log_rmse_pair_tau_ABC,inverse_term_injected,inverse_square_term_injected
Rc0.5_eps0.005_off0.08_a_opposes_b_assists,0.5,0.005,0.08,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.0005729577951308235,0.007161972439135291,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1201211742658734,-1.9682899355265642,-1.1201211742658734,-1.1201211742658739,-8.645153866595417e-15,-1.7290307733190832e-15,-1.1152562861628461,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606907,0.0,-4.440892098500626e-16,0.005893569762559208,False,False
Rc0.5_eps0.005_off0.08_a_assists_b_opposes,0.5,0.005,0.08,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.0005729577951308235,0.007161972439135291,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1193396627364476,-1.9675084239971388,-1.1193396627364476,-1.1193396627364476,-8.645153866595417e-15,-1.7290307733190832e-15,-1.114482203396491,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606912,0.0,0.0,0.005937509532776005,False,False
Rc0.5_eps0.01_off-0.08_c_opposes_ab,0.5,0.01,-0.08,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.014323944878270581,0.001145915590261647,0.005,True,True,True,True,True,-1.0000000000000002,-1.1295937246183432,-1.977762485879033,-1.1295937246183432,-1.1295937246183427,8.645153866595416e-16,8.645153866595416e-16,-1.1197302687699113,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,0.0,4.440892098500626e-16,0.0053559849175516955,False,False
Rc0.5_eps0.01_off-0.08_c_assists_ab,0.5,0.01,-0.08,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.014323944878270581,0.001145915590261647,0.005,True,True,True,True,True,-1.0000000000000002,-1.1100539983719948,-1.9582227596326847,-1.1100539983719953,-1.1100539983719953,8.645153866595416e-16,8.645153866595416e-16,-1.100559215712886,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,-4.440892098500626e-16,-4.440892098500626e-16,0.006454766743135837,False,False
Rc0.5_eps0.01_off-0.08_a_opposes_b_assists,0.5,0.01,-0.08,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.001145915590261647,0.014323944878270581,0.005,True,True,True,True,True,-1.0000000000000002,-1.1189493557931642,-1.967118117053854,-1.118949355793164,-1.1189493557931638,8.645153866595416e-16,8.645153866595416e-16,-1.1092878107840838,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,2.220446049250313e-16,4.440892098500626e-16,0.005959430617637434,False,False
Rc0.5_eps0.01_off-0.08_a_assists_b_opposes,0.5,0.01,-0.08,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.001145915590261647,0.014323944878270581,0.005,True,True,True,True,True,-1.0000000000000002,-1.12051237959731,-1.9686811408580007,-1.12051237959731,-1.1205123795973106,8.645153866595416e-16,8.645153866595416e-16,-1.1108213473528057,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606907,0.0,-6.661338147750939e-16,0.005871550966617867,False,False
Rc0.5_eps0.01_off0_c_opposes_ab,0.5,0.01,0.0,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.014323944878270581,0.0,0.005,True,True,True,False,True,-1.0000000000000002,-1.1295937246183432,-1.9777624858790335,-1.1295937246183432,-1.1295937246183432,8.645153866595416e-16,0.0,-1.1197302687699116,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,unfit,proportional_like_alpha_minus1,-0.8481687612606903,0.0,0.0,0.005355984917551725,False,False
Rc0.5_eps0.01_off0_c_assists_ab,0.5,0.01,0.0,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.014323944878270581,0.0,0.005,True,True,True,False,True,-1.0000000000000002,-1.1100539983719946,-1.9582227596326847,-1.1100539983719946,-1.1100539983719946,8.645153866595416e-16,0.0,-1.100559215712886,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,unfit,proportional_like_alpha_minus1,-0.8481687612606901,0.0,0.0,0.006454766743135818,False,False
Rc0.5_eps0.01_off0_a_opposes_b_assists,0.5,0.01,0.0,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.0,0.014323944878270581,0.005,True,True,False,True,True,-1.0000000000000002,-1.1197302687699116,-1.9678990300306012,-1.1197302687699116,-1.1197302687699116,0.0,8.645153866595416e-16,-1.1100539983719946,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,unfit,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,0.005915555932828392,False,False
Rc0.5_eps0.01_off0_a_assists_b_opposes,0.5,0.01,0.0,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.0,0.014323944878270581,0.005,True,True,False,True,True,-1.0000000000000002,-1.1197302687699116,-1.9678990300306012,-1.1197302687699116,-1.1197302687699116,0.0,8.645153866595416e-16,-1.1100539983719946,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,unfit,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,0.005915555932828392,False,False
Rc0.5_eps0.01_off0.08_c_opposes_ab,0.5,0.01,0.08,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.014323944878270581,0.001145915590261647,0.005,True,True,True,True,True,-1.0000000000000002,-1.1295937246183432,-1.977762485879033,-1.1295937246183427,-1.1295937246183432,8.645153866595416e-16,8.645153866595416e-16,-1.1197302687699113,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,4.440892098500626e-16,0.0,0.0053559849175516955,False,False
Rc0.5_eps0.01_off0.08_c_assists_ab,0.5,0.01,0.08,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.014323944878270581,0.001145915590261647,0.005,True,True,True,True,True,-1.0000000000000002,-1.1100539983719948,-1.9582227596326847,-1.1100539983719953,-1.1100539983719953,8.645153866595416e-16,8.645153866595416e-16,-1.100559215712886,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,-4.440892098500626e-16,-4.440892098500626e-16,0.006454766743135837,False,False
Rc0.5_eps0.01_off0.08_a_opposes_b_assists,0.5,0.01,0.08,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.001145915590261647,0.014323944878270581,0.005,True,True,True,True,True,-1.0000000000000002,-1.12051237959731,-1.9686811408580007,-1.1205123795973106,-1.12051237959731,8.645153866595416e-16,8.645153866595416e-16,-1.1108213473528057,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606907,-6.661338147750939e-16,0.0,0.005871550966617867,False,False
Rc0.5_eps0.01_off0.08_a_assists_b_opposes,0.5,0.01,0.08,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.12525,True,True,False,True,False,0.001145915590261647,0.014323944878270581,0.005,True,True,True,True,True,-1.0000000000000002,-1.1189493557931642,-1.967118117053854,-1.1189493557931638,-1.118949355793164,8.645153866595416e-16,8.645153866595416e-16,-1.1092878107840838,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,4.440892098500626e-16,2.220446049250313e-16,0.005959430617637434,False,False
Rc0.5_eps0.02_off-0.08_c_opposes_ab,0.5,0.02,-0.08,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.028647889756541162,0.002291831180523294,0.01,True,True,True,True,True,-1.0000000000000009,-1.1396503208528794,-1.9878190821135697,-1.1396503208528792,-1.1396503208528794,-8.645153866595416e-16,-8.645153866595416e-16,-1.1197302687699113,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606903,2.220446049250313e-16,0.0,0.004775166455708951,False,False
Rc0.5_eps0.02_off-0.08_c_assists_ab,0.5,0.02,-0.08,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.028647889756541162,0.002291831180523294,0.01,True,True,True,True,True,-1.0000000000000009,-1.1005592157128867,-1.9487279769735768,-1.100559215712887,-1.1005592157128863,-8.645153866595416e-16,-8.645153866595416e-16,-1.0820925236982046,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606901,-2.220446049250313e-16,4.440892098500626e-16,0.006974459440300849,False,False
Rc0.5_eps0.02_off-0.08_a_opposes_b_assists,0.5,0.02,-0.08,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.002291831180523294,0.028647889756541162,0.01,True,True,True,True,True,-1.0000000000000009,-1.118169637691145,-1.9663383989518353,-1.118169637691145,-1.118169637691145,-8.645153866595416e-16,-8.645153866595416e-16,-1.0990565247918722,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606903,0.0,0.0,0.0060031754624654795,False,False
Rc0.5_eps0.02_off-0.08_a_assists_b_opposes,0.5,0.02,-0.08,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.002291831180523294,0.028647889756541162,0.01,True,True,True,True,True,-1.0000000000000009,-1.1212956912618097,-1.9694644525224996,-1.1212956912618093,-1.1212956912618093,-8.645153866595416e-16,-8.645153866595416e-16,-1.102066412599089,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,4.440892098500626e-16,4.440892098500626e-16,0.00582741527573776,False,False
Rc0.5_eps0.02_off0_c_opposes_ab,0.5,0.02,0.0,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.028647889756541162,0.0,0.01,True,True,True,False,True,-1.0000000000000009,-1.1396503208528794,-1.9878190821135702,-1.1396503208528794,-1.1396503208528794,-8.645153866595416e-16,0.0,-1.1197302687699116,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,unfit,proportional_like_alpha_minus1,-0.8481687612606907,0.0,0.0,0.0047751664557088595,False,False
Rc0.5_eps0.02_off0_c_assists_ab,0.5,0.02,0.0,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.028647889756541162,0.0,0.01,True,True,True,False,True,-1.0000000000000009,-1.1005592157128867,-1.9487279769735768,-1.1005592157128867,-1.1005592157128867,-8.645153866595416e-16,0.0,-1.0820925236982042,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,unfit,proportional_like_alpha_minus1,-0.8481687612606901,0.0,0.0,0.006974459440300849,False,False
Rc0.5_eps0.02_off0_a_opposes_b_assists,0.5,0.02,0.0,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.0,0.028647889756541162,0.01,True,True,False,True,True,-1.0000000000000009,-1.1197302687699116,-1.9678990300306012,-1.1197302687699116,-1.1197302687699116,0.0,-8.645153866595416e-16,-1.1005592157128867,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,unfit,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,0.005915555932828392,False,False
Rc0.5_eps0.02_off0_a_assists_b_opposes,0.5,0.02,0.0,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.0,0.028647889756541162,0.01,True,True,False,True,True,-1.0000000000000009,-1.1197302687699116,-1.9678990300306012,-1.1197302687699116,-1.1197302687699116,0.0,-8.645153866595416e-16,-1.1005592157128867,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,unfit,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,0.005915555932828392,False,False
Rc0.5_eps0.02_off0.08_c_opposes_ab,0.5,0.02,0.08,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.028647889756541162,0.002291831180523294,0.01,True,True,True,True,True,-1.0000000000000009,-1.1396503208528794,-1.9878190821135697,-1.1396503208528794,-1.1396503208528792,-8.645153866595416e-16,-8.645153866595416e-16,-1.1197302687699113,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606903,0.0,2.220446049250313e-16,0.004775166455708951,False,False
Rc0.5_eps0.02_off0.08_c_assists_ab,0.5,0.02,0.08,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.028647889756541162,0.002291831180523294,0.01,True,True,True,True,True,-1.0000000000000009,-1.1005592157128867,-1.9487279769735768,-1.1005592157128863,-1.100559215712887,-8.645153866595416e-16,-8.645153866595416e-16,-1.0820925236982046,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606901,4.440892098500626e-16,-2.220446049250313e-16,0.006974459440300849,False,False
Rc0.5_eps0.02_off0.08_a_opposes_b_assists,0.5,0.02,0.08,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.1255,True,True,False,True,False,0.002291831180523294,0.028647889756541162,0.01,True,True,True,True,True,-1.0000000000000009,-1.1212956912618097,-1.9694644525224996,-1.1212956912618093,-1.1212956912618093,-8.645153866595416e-16,-8.645153866595416e-16,-1.102066412599089,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,4.440892098500626e-16,4.440892098500626e-16,0.00582741527573776,False,False
