N,trial,complex_embed_err_rel,complex_rank,real_B_min_eig_rel,real_B_n_negative,sum_abs_z2
4,48,5.31e-16,3,-2.675e-01,1,3.3426
4,49,4.28e-16,3,-1.307e-01,1,11.8991
4,50,4.62e-16,3,-1.735e-01,1,24.5419
4,51,3.54e-16,3,-2.439e-01,1,7.7069
4,52,6.26e-16,3,-1.571e-01,1,9.5392
4,53,1.09e-15,3,-1.317e-01,1,6.1648
4,54,7.28e-16,3,-4.288e-01,1,9.3355
4,55,6.67e-16,3,-3.805e-01,1,18.4187
4,56,1.12e-15,3,-1.589e-01,1,13.3767
4,57,4.07e-16,3,-3.077e-01,1,15.5239
4,58,3.05e-16,3,-2.739e-01,2,3.9250
4,59,5.93e-16,3,-2.926e-01,1,9.5500
4,60,3.94e-16,3,-2.116e-02,1,16.7357
4,61,4.03e-16,3,-2.341e-01,1,12.3571
4,62,4.66e-16,3,-4.736e-01,1,7.2913
4,63,3.82e-16,3,-4.415e-01,1,15.4521
4,64,4.50e-16,3,-1.631e-02,1,21.1874
4,65,9.30e-16,3,8.451e-18,0,5.2580
4,66,5.18e-16,3,-1.095e-01,1,16.2891
4,67,3.91e-16,3,-2.817e-01,1,15.6866
4,68,3.88e-16,3,-8.730e-02,1,9.3939
4,69,5.44e-16,3,-6.084e-01,1,17.4942
4,70,3.84e-16,3,-2.930e-01,1,12.0661
4,71,6.79e-16,3,-1.017e-01,1,17.1058
4,72,8.13e-16,3,-1.489e-03,1,12.4981
4,73,9.02e-16,3,-3.147e-03,1,5.8431
4,74,4.66e-16,3,-1.667e-01,1,7.5667
4,75,2.39e-16,3,-3.186e-01,1,8.4249
4,76,8.27e-16,3,-9.503e-02,1,12.9670
4,77,6.16e-16,3,-1.923e-01,1,8.3177
4,78,6.94e-16,3,4.636e-17,0,12.7216
4,79,5.70e-16,3,-2.502e-01,1,10.2195
4,80,1.12e-15,3,-7.375e-02,1,12.4908
4,81,4.95e-16,3,2.261e-16,0,10.5173
4,82,1.15e-15,3,-3.361e-01,1,18.5296
4,83,7.21e-16,3,-1.475e-17,0,14.0916
4,84,8.08e-16,3,-1.199e-01,1,11.7528
4,85,5.22e-16,3,-2.677e-01,1,6.1153
4,86,4.39e-16,3,-2.685e-01,1,12.4116
4,87,3.60e-16,3,-1.658e-01,1,6.1130
4,88,2.41e-16,3,-3.038e-01,1,20.9059
4,89,7.54e-16,3,-2.114e-01,1,9.1214
4,90,4.71e-16,3,-3.339e-01,1,9.1768
4,91,1.17e-15,3,-8.352e-17,0,4.8715
4,92,6.58e-16,3,-2.558e-03,1,15.6217
4,93,6.84e-16,3,-2.099e-01,1,13.5944
4,94,8.22e-16,3,-1.927e-01,1,34.3610
4,95,1.04e-15,3,-1.889e-01,1,18.1486
4,96,1.09e-15,3,-1.181e-03,1,12.0361
4,97,4.76e-16,3,-3.429e-02,1,15.1494
4,98,1.29e-15,3,-1.709e-01,1,16.6054
4,99,5.08e-16,3,-5.799e-01,1,8.8077
5,0,8.33e-16,4,-3.344e-01,1,18.2605
5,1,5.05e-16,4,-1.238e-01,1,18.8971
5,2,7.89e-16,4,-3.659e-01,2,13.3913
5,3,7.56e-16,4,-6.946e-01,1,23.1361
5,4,5.37e-16,4,-3.000e-01,1,8.3693
5,5,1.22e-15,4,-1.137e-01,1,15.5892
5,6,8.34e-16,4,-1.737e-01,1,24.6759
5,7,7.53e-16,4,-3.723e-01,1,19.3624
5,8,9.41e-16,4,-1.112e-02,1,7.7623
5,9,9.63e-16,4,-2.229e-01,2,21.0492
5,10,1.08e-15,4,-1.799e-01,1,10.5496
5,11,8.21e-16,4,-1.433e-01,1,14.3159
5,12,8.14e-16,4,-1.634e-01,1,17.5126
5,13,1.24e-15,4,-4.452e-01,1,23.7467
5,14,6.91e-16,4,-5.329e-02,1,20.6481
5,15,7.72e-16,4,-4.379e-01,1,28.5370
5,16,7.82e-16,4,-2.626e-01,1,21.4223
5,17,8.92e-16,4,-2.557e-01,1,15.0782
5,18,4.75e-16,4,-2.758e-01,1,24.9656
5,19,1.01e-15,4,-4.354e-01,2,15.3689
5,20,9.28e-16,4,-2.009e-01,2,43.1879
5,21,7.38e-16,4,-3.949e-01,1,27.8185
5,22,6.89e-16,4,-2.355e-01,1,18.5543
5,23,8.22e-16,4,-1.474e-01,2,15.3844
5,24,2.48e-16,4,-2.341e-01,2,16.7246
5,25,9.47e-16,4,-1.351e-01,1,13.4153
5,26,8.54e-16,4,-3.101e-03,1,18.8241
5,27,3.30e-16,4,-2.430e-01,2,19.3528
5,28,1.32e-15,4,-2.762e-17,0,19.5351
5,29,3.79e-16,4,-3.931e-01,2,13.1555
5,30,5.61e-16,4,-3.777e-01,1,20.9096
5,31,5.57e-16,4,-3.132e-01,1,19.3153
5,32,6.96e-16,4,-2.485e-01,1,16.5524
5,33,1.07e-15,4,-2.119e-01,1,23.4789
5,34,4.38e-16,4,-5.644e-01,2,15.7344
5,35,5.14e-16,4,-1.962e-01,1,23.5211
5,36,6.94e-16,4,-2.031e-01,1,20.0811
5,37,8.38e-16,4,-3.198e-01,1,17.1779
5,38,4.13e-16,4,-4.417e-02,1,16.1461
5,39,6.29e-16,4,-3.838e-01,1,27.2199
5,40,8.49e-16,4,-2.034e-01,1,13.0917
5,41,4.44e-16,4,-4.794e-01,1,19.1077
5,42,6.34e-16,4,-3.515e-01,1,15.7094
5,43,6.32e-16,4,-2.549e-01,1,14.2112
5,44,1.01e-15,4,-2.166e-01,1,17.5078
5,45,5.07e-16,4,-4.178e-01,1,23.0397
5,46,8.30e-16,4,-2.374e-01,1,20.3154
5,47,9.32e-16,4,-2.383e-01,1,21.7515
5,48,8.17e-16,4,-1.576e-01,1,15.7010
5,49,7.82e-16,4,-2.249e-01,2,41.5973
5,50,1.05e-15,4,-1.249e-01,1,15.0617
5,51,4.89e-16,4,-3.333e-01,1,24.1369
5,52,7.97e-16,4,-2.112e-01,1,34.3411
5,53,7.29e-16,4,-3.006e-01,1,33.9026
5,54,1.03e-15,4,-3.514e-01,1,23.7789
5,55,5.49e-16,4,-3.133e-01,1,19.8609
5,56,7.59e-16,4,-3.388e-01,1,26.3950
5,57,4.89e-16,4,-3.580e-01,1,32.1387
5,58,4.89e-16,4,-3.343e-01,1,15.8182
5,59,8.29e-16,4,-4.205e-01,1,19.2247
5,60,1.05e-15,4,-1.765e-01,1,12.1189
5,61,8.40e-16,4,-1.930e-01,2,20.0771
5,62,1.62e-15,4,-2.443e-01,1,26.2708
5,63,1.13e-15,4,-8.331e-02,1,15.2738
5,64,1.05e-15,4,-3.179e-01,1,18.2313
5,65,8.24e-16,4,-4.100e-02,1,13.2652
5,66,5.84e-16,4,-2.819e-01,1,13.2172
5,67,5.76e-16,4,-5.813e-01,1,15.1473
5,68,9.28e-16,4,-2.473e-01,2,21.2653
5,69,1.01e-15,4,-1.039e-01,1,27.9490
5,70,7.95e-16,4,-1.631e-01,1,17.8107
5,71,5.85e-16,4,-1.312e-01,2,22.8957
5,72,5.60e-16,4,-4.436e-01,1,19.5423
5,73,8.53e-16,4,-9.410e-02,1,31.0369
5,74,1.30e-15,4,-2.982e-01,2,18.6366
5,75,5.76e-16,4,-2.363e-01,2,16.3219
5,76,1.02e-15,4,-1.966e-01,1,20.9280
5,77,6.86e-16,4,-5.310e-01,1,19.3454
5,78,4.76e-16,4,-2.515e-01,1,22.5989
5,79,1.03e-15,4,-6.325e-01,1,23.9707
5,80,1.03e-15,4,-5.987e-01,1,10.6599
5,81,5.98e-16,4,-3.565e-01,2,12.5336
5,82,1.04e-15,4,-1.178e-01,1,19.1752
5,83,9.61e-16,4,-1.455e-01,2,18.3162
5,84,1.12e-15,4,-3.737e-01,1,10.1921
5,85,1.06e-15,4,-7.551e-02,1,16.1588
5,86,9.91e-16,4,-1.020e-01,1,16.5896
5,87,7.05e-16,4,-3.541e-01,1,20.5834
5,88,1.13e-15,4,-2.093e-01,1,22.1597
5,89,9.10e-16,4,-2.207e-01,2,22.0504
5,90,6.33e-16,4,-2.007e-01,2,18.8632
5,91,6.06e-16,4,-2.715e-01,1,20.3737
5,92,1.15e-15,4,-2.117e-01,1,26.2964
5,93,5.55e-16,4,-2.573e-01,1,22.0442
5,94,6.27e-16,4,-3.186e-17,0,16.9628
5,95,9.54e-16,4,-5.481e-01,1,10.2825
5,96,8.05e-16,4,-5.109e-01,1,18.8834
5,97,7.40e-16,4,-4.363e-01,1,19.1391
5,98,4.50e-16,4,-4.379e-01,1,21.5259
5,99,4.77e-16,4,-3.270e-01,2,15.6948
6,0,9.79e-16,5,-4.285e-01,2,17.3234
6,1,9.74e-16,5,-5.499e-01,1,40.9417
6,2,8.86e-16,5,-2.283e-01,1,38.7180
6,3,5.96e-16,5,-2.380e-01,3,63.7850
6,4,7.23e-16,5,-4.031e-01,2,29.7193
6,5,9.70e-16,5,-3.670e-01,2,35.2275
6,6,1.48e-15,5,-1.351e-01,1,30.0400
6,7,1.33e-15,5,-5.239e-01,2,29.5466
6,8,9.45e-16,5,-4.596e-01,2,34.4922
6,9,6.51e-16,5,-3.127e-01,2,24.5696
6,10,8.90e-16,5,-4.342e-01,2,25.8150
6,11,9.44e-16,5,-9.880e-02,1,39.8723
6,12,8.96e-16,5,-3.395e-01,2,25.7545
6,13,7.60e-16,5,-3.137e-01,2,31.9396
6,14,7.12e-16,5,-1.064e-01,1,25.3430
6,15,1.03e-15,5,-2.270e-01,2,33.7505
6,16,1.29e-15,5,-3.788e-01,2,34.5530
6,17,6.07e-16,5,-4.125e-01,1,22.7761
6,18,1.51e-15,5,-2.244e-01,2,28.7475
6,19,7.68e-16,5,-4.206e-01,2,33.2608
6,20,8.54e-16,5,-4.915e-01,2,27.9725
6,21,1.00e-15,5,-2.603e-01,2,41.0855
6,22,7.33e-16,5,-2.526e-01,2,31.4884
6,23,1.52e-15,5,-2.222e-01,1,19.2209
6,24,1.85e-15,5,-5.414e-01,2,32.4040
6,25,7.62e-16,5,-4.684e-01,1,27.1060
6,26,6.65e-16,5,-4.898e-01,2,28.9041
6,27,8.97e-16,5,-3.521e-01,1,25.8968
6,28,7.41e-16,5,-4.116e-01,2,35.0439
6,29,7.89e-16,5,-3.922e-01,2,27.6292
6,30,1.09e-15,5,-4.200e-01,2,22.4131
6,31,1.23e-15,5,-3.138e-01,2,35.5237
6,32,7.31e-16,5,-2.808e-01,2,23.5225
6,33,1.05e-15,5,-3.493e-01,2,19.3088
6,34,9.44e-16,5,-3.714e-01,2,31.5114
6,35,5.34e-16,5,-4.872e-01,2,28.1784
6,36,9.78e-16,5,-7.231e-01,1,21.1475
6,37,1.59e-15,5,-2.056e-01,2,32.5218
6,38,9.94e-16,5,-3.739e-01,2,21.5202
6,39,4.95e-16,5,-3.075e-01,2,39.9994
6,40,1.26e-15,5,-3.197e-01,1,25.3281
6,41,9.05e-16,5,-2.892e-01,2,21.6898
6,42,5.88e-16,5,-3.979e-01,2,28.5636
6,43,1.56e-15,5,-1.831e-01,1,34.2465
6,44,5.40e-16,5,-4.017e-01,2,32.5587
6,45,4.42e-16,5,-2.687e-01,2,32.5577
6,46,8.32e-16,5,-2.103e-01,2,34.0343
6,47,1.19e-15,5,-2.572e-01,2,14.6618
6,48,1.04e-15,5,-5.911e-01,2,35.3549
6,49,7.27e-16,5,-8.097e-01,1,31.6911
6,50,9.13e-16,5,-4.250e-01,2,22.1258
6,51,1.27e-15,5,-4.017e-01,1,21.6785
6,52,1.27e-15,5,-3.879e-01,1,27.9234
6,53,8.69e-16,5,-5.079e-01,1,29.1033
6,54,5.30e-16,5,-3.634e-01,2,48.2214
6,55,6.19e-16,5,-6.214e-01,1,22.7631
6,56,9.15e-16,5,-7.514e-01,1,27.7356
6,57,1.36e-15,5,-5.742e-01,1,24.6292
6,58,4.64e-16,5,-2.337e-01,2,36.2214
6,59,1.04e-15,5,-4.226e-01,2,31.0942
6,60,1.19e-15,5,-4.157e-01,2,18.1203
6,61,8.33e-16,5,-3.154e-01,2,36.0438
6,62,1.16e-15,5,-4.325e-01,2,28.7114
6,63,1.16e-15,5,-1.816e-01,1,32.9552
6,64,4.98e-16,5,-3.723e-01,2,27.3619
6,65,6.31e-16,5,-3.510e-01,1,35.8074
6,66,7.36e-16,5,-4.718e-01,2,30.8797
6,67,6.64e-16,5,-1.902e-01,2,35.1095
6,68,6.34e-16,5,-2.388e-01,1,35.1421
6,69,7.84e-16,5,-2.395e-01,2,36.3743
6,70,1.08e-15,5,-1.764e-01,2,40.9501
6,71,6.76e-16,5,-1.487e-01,1,47.2712
6,72,5.98e-16,5,-1.467e-01,2,33.0624
6,73,7.22e-16,5,-7.761e-01,2,30.4125
6,74,6.97e-16,5,-4.916e-01,2,45.9973
6,75,5.12e-16,5,-4.324e-01,3,31.0647
6,76,1.79e-15,5,-2.262e-01,1,26.5818
6,77,9.92e-16,5,-6.243e-01,2,35.3725
6,78,6.86e-16,5,-4.662e-01,2,29.5748
6,79,8.96e-16,5,-6.072e-01,2,36.0235
6,80,1.08e-15,5,-2.690e-01,2,27.2578
6,81,1.17e-15,5,-3.792e-01,1,35.7731
6,82,8.90e-16,5,-3.790e-01,1,24.2881
6,83,6.24e-16,5,-6.318e-01,2,22.1266
6,84,1.23e-15,5,-5.150e-01,2,32.9946
6,85,9.72e-16,5,-3.806e-01,1,28.3764
6,86,6.04e-16,5,-4.110e-01,2,29.2799
6,87,8.84e-16,5,-2.951e-01,1,33.3432
6,88,1.15e-15,5,-1.426e-01,1,26.6891
6,89,1.07e-15,5,-3.924e-01,2,28.6792
6,90,1.06e-15,5,-4.046e-01,1,27.6364
6,91,5.46e-16,5,-4.553e-01,1,35.1161
6,92,1.20e-15,5,-4.422e-01,2,23.3110
6,93,7.22e-16,5,-3.569e-01,2,32.8801
6,94,4.82e-16,5,-4.465e-01,1,38.9489
6,95,1.11e-15,5,-7.655e-02,1,45.8047
6,96,9.22e-16,5,-3.335e-01,2,42.4690
6,97,8.59e-16,5,-4.124e-01,1,39.0051
6,98,7.29e-16,5,-4.518e-01,2,21.8599
6,99,9.19e-16,5,-2.764e-01,2,25.3307
7,0,1.09e-15,6,-3.612e-01,2,26.2117
7,1,9.26e-16,6,-6.982e-01,2,44.9381
7,2,8.74e-16,6,-2.859e-01,2,60.9897
7,3,5.57e-16,6,-2.984e-01,2,31.7981
7,4,1.02e-15,6,-5.442e-01,2,40.1737
7,5,8.23e-16,6,-4.555e-01,2,63.0751
7,6,1.27e-15,6,-4.024e-01,1,38.7098
7,7,1.02e-15,6,-6.161e-01,2,42.9794
7,8,4.80e-16,6,-4.847e-01,2,42.0850
7,9,9.73e-16,6,-2.117e-01,2,48.9279
7,10,8.86e-16,6,-7.963e-01,2,52.7791
7,11,1.46e-15,6,-5.234e-01,2,43.6470
7,12,8.18e-16,6,-6.876e-01,3,37.7631
7,13,1.02e-15,6,-3.960e-01,2,54.9429
7,14,8.30e-16,6,-3.913e-01,2,41.8580
7,15,1.03e-15,6,-5.874e-01,2,38.7963
7,16,1.35e-15,6,-4.518e-01,2,39.1155
7,17,1.24e-15,6,-4.386e-01,2,40.6329
7,18,8.87e-16,6,-6.519e-01,2,41.7568
7,19,1.39e-15,6,-4.008e-01,2,40.7932
7,20,1.18e-15,6,-4.119e-01,3,46.9713
7,21,1.16e-15,6,-4.102e-01,2,56.0251
7,22,9.96e-16,6,-2.249e-01,2,47.5233
7,23,1.30e-15,6,-6.832e-01,2,32.1139
7,24,9.46e-16,6,-3.161e-01,2,28.8786
7,25,1.43e-15,6,-2.420e-01,2,35.0501
7,26,6.90e-16,6,-4.609e-01,3,56.5701
7,27,7.23e-16,6,-4.874e-01,2,34.6519
7,28,1.51e-15,6,-4.719e-01,2,43.6652
7,29,1.43e-15,6,-3.432e-01,2,54.3276
7,30,7.00e-16,6,-3.488e-01,3,44.8455
7,31,1.16e-15,6,-3.653e-01,2,28.8597
7,32,9.14e-16,6,-6.525e-01,2,45.8578
7,33,1.05e-15,6,-4.037e-01,2,39.7956
7,34,9.53e-16,6,-5.531e-01,2,43.1039
7,35,1.50e-15,6,-5.697e-01,2,28.5145
7,36,2.06e-15,6,-3.133e-01,3,40.5237
7,37,6.99e-16,6,-7.057e-01,2,55.0653
7,38,1.07e-15,6,-4.477e-01,2,46.5122
7,39,1.27e-15,6,-4.353e-01,2,45.7436
7,40,1.48e-15,6,-5.200e-01,2,36.4573
7,41,4.41e-16,6,-4.456e-01,2,39.2136
7,42,7.07e-16,6,-4.849e-01,2,37.1295
7,43,1.15e-15,6,-5.483e-01,3,35.2699
7,44,8.15e-16,6,-3.288e-01,2,32.9857
7,45,4.80e-16,6,-3.832e-01,1,34.4618
7,46,9.44e-16,6,-3.935e-01,2,37.5046
7,47,1.44e-15,6,-4.195e-01,2,43.2939
7,48,7.89e-16,6,-3.712e-01,2,39.4315
7,49,9.91e-16,6,-5.820e-01,2,38.2556
7,50,1.19e-15,6,-6.012e-01,2,35.9619
7,51,1.38e-15,6,-5.428e-01,2,23.1257
7,52,8.01e-16,6,-5.049e-01,2,47.5060
7,53,8.17e-16,6,-5.357e-01,2,46.7188
7,54,1.22e-15,6,-4.055e-01,2,52.4531
7,55,9.94e-16,6,-5.561e-01,2,36.3287
7,56,1.02e-15,6,-4.213e-01,3,34.2712
7,57,8.30e-16,6,-4.158e-01,2,60.1207
7,58,9.89e-16,6,-8.454e-01,2,47.9054
7,59,1.12e-15,6,-5.622e-01,2,25.3318
7,60,8.80e-16,6,-2.312e-01,2,40.4859
7,61,1.11e-15,6,-3.777e-01,2,39.6173
7,62,1.80e-15,6,-6.901e-01,2,53.6136
7,63,1.28e-15,6,-6.335e-01,2,38.1316
7,64,8.71e-16,6,-4.379e-01,2,38.6268
7,65,6.79e-16,6,-3.393e-01,1,58.2847
7,66,1.15e-15,6,-4.945e-01,2,38.5577
7,67,1.24e-15,6,-4.676e-01,2,41.3223
7,68,5.79e-16,6,-4.361e-01,2,34.0671
7,69,1.37e-15,6,-7.142e-01,2,33.2775
7,70,1.12e-15,6,-5.207e-01,2,48.0764
7,71,1.04e-15,6,-3.259e-01,2,27.2621
7,72,1.03e-15,6,-3.789e-01,2,46.3618
7,73,1.21e-15,6,-4.570e-01,2,39.1860
7,74,1.16e-15,6,-6.255e-01,2,47.1930
7,75,9.06e-16,6,-3.617e-01,1,50.2860
7,76,1.16e-15,6,-4.395e-01,3,30.4720
7,77,1.23e-15,6,-5.418e-01,2,44.2855
7,78,1.29e-15,6,-5.081e-01,2,38.8362
7,79,1.16e-15,6,-6.264e-01,2,52.0752
7,80,8.92e-16,6,-6.908e-01,2,22.8143
7,81,1.16e-15,6,-4.597e-01,2,26.6566
7,82,8.86e-16,6,-4.285e-01,2,53.9572
7,83,5.41e-16,6,-3.898e-01,2,43.4649
7,84,1.30e-15,6,-2.867e-01,2,46.0498
7,85,7.71e-16,6,-3.662e-01,2,41.0353
7,86,1.00e-15,6,-4.714e-01,2,54.1359
7,87,7.69e-16,6,-4.305e-01,2,43.8759
7,88,8.80e-16,6,-3.406e-01,3,36.5537
7,89,5.70e-16,6,-2.558e-01,2,54.3410
7,90,8.23e-16,6,-5.182e-01,2,60.0155
7,91,1.11e-15,6,-7.436e-01,2,26.8054
7,92,6.28e-16,6,-6.195e-01,2,65.3335
7,93,6.28e-16,6,-4.586e-01,2,40.7150
7,94,8.95e-16,6,-2.138e-01,3,25.6693
7,95,1.40e-15,6,-2.263e-01,2,38.3322
7,96,1.05e-15,6,-2.511e-01,2,31.0194
